SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
64, -3.744543763120611e-03, 1.831825192763383e-01, -1.919624066682378e-01, 5.056426818050705e-03, 4.633035857578530e-02, 2.684499919410000e-01, -4.345755064810896e-02
65, -5.141109892044753e-03, 2.001098463171190e-01, -2.096895553066956e-01, 1.061842791346145e-02, 5.061154729174960e-02, 2.545700073240000e-01, -4.362021512913218e-02
66, 4.424750313938470e-03, 2.169186494196211e-01, -2.271523550529645e-01, 1.723166232529976e-02, 5.485028113831292e-02, 2.409400045870000e-01, -4.371018340488487e-02
67, 2.683119764506794e-02, 2.330549670479851e-01, -2.437601952796921e-01, 2.485257369280632e-02, 5.895180101272225e-02, 2.275699973110000e-01, -4.372029287980922e-02
68, 4.528056968480482e-02, 2.491597461715765e-01, -2.600697181443772e-01, 3.335815206615690e-02, 6.305418670609764e-02, 2.144699990750000e-01, -4.364405832957052e-02
69, 3.485422020532396e-02, 2.670574130574937e-01, -2.778451148242363e-01, 4.292317472389472e-02, 6.767280728145100e-02, 2.016600072380000e-01, -4.347584954420842e-02
70, -5.080102648331190e-03, 2.898393789223255e-01, -3.000190159968599e-01, 5.393069183817401e-02, 7.353155900290222e-02, 1.891400069000000e-01, -4.321054358944872e-02
71, -4.995136803010894e-02, 3.202629827414403e-01, -3.292250060055969e-01, 6.694653430880740e-02, 8.128238082338236e-02, 1.769299954180000e-01, -4.284405891418616e-02
72, -7.566775363547840e-02, 3.574824588736940e-01, -3.646525352664828e-01, 8.259035807818231e-02, 9.058689890861829e-02, 1.650400012730000e-01, -4.237292839433870e-02
73, -6.769390330218010e-02, 3.924448488660503e-01, -3.976377713603302e-01, 1.006102750779014e-01, 9.911536390196882e-02, 1.534900069240000e-01, -4.179494263032667e-02
74, -2.821221669494709e-02, 4.088702247386129e-01, -4.124534924469956e-01, 1.191885240786251e-01, 1.028795440834975e-01, 1.422899961470000e-01, -4.110839588157062e-02
75, 2.010452987252664e-02, 3.944992979570514e-01, -3.971171288930007e-01, 1.357411346658702e-01, 9.899461517329410e-02, 1.314399987460000e-01, -4.031156631782883e-02
76, 4.719207262236791e-02, 3.530874343177465e-01, -3.550697682537607e-01, 1.492867229204928e-01, 8.856557929484181e-02, 1.209499984980000e-01, -3.940393381310603e-02
77, 4.041584974602903e-02, 3.034582791159753e-01, -3.043950074542688e-01, 1.618352255355406e-01, 7.623780486214476e-02, 1.108499988910000e-01, -3.838793771327820e-02
78, 1.440671544078764e-02, 2.639848219539832e-01, -2.629683284043845e-01, 1.764776336987215e-01, 6.645372227344763e-02, 1.011300012470000e-01, -3.726317217403587e-02
79, -5.742994412875879e-03, 2.385395683205599e-01, -2.346729752020745e-01, 1.943661774804037e-01, 6.008338059662618e-02, 9.181000292300000e-02, -3.603314702834205e-02
80, -8.802860198259984e-03, 2.181093934862645e-01, -2.106851400353753e-01, 2.137790795264798e-01, 5.488404170917437e-02, 8.290000259900000e-02, -3.470148811023057e-02
81, -2.526715882833392e-03, 1.935849024164092e-01, -1.818632324556945e-01, 2.324886647718994e-01, 4.864240793410515e-02, 7.440000027400000e-02, -3.327116553716818e-02
82, 1.739625480228507e-03, 1.636114160068795e-01, -1.466172690145733e-01, 2.500802436232952e-01, 4.105597202342061e-02, 6.633000075800000e-02, -3.174949710876219e-02
83, 1.681823742321738e-03, 1.312294751204771e-01, -1.078048175597242e-01, 2.673270502080470e-01, 3.288896355081368e-02, 5.869000032500000e-02, -3.014144368210757e-02
84, 6.122341016123341e-04, 9.815496649417393e-02, -6.702556167977267e-02, 2.846211329707743e-01, 2.457295721386050e-02, 5.149000138000000e-02, -2.845478701243459e-02
85, 5.529832262616657e-04, 6.408926413372956e-02, -2.380473030342200e-02, 3.016401153283831e-01, 1.601143706774719e-02, 4.473999887700000e-02, -2.669858078598181e-02
86, 1.060444197139314e-03, 2.848261974976939e-02, 2.265968325671999e-02, 3.180061019451489e-01, 7.084234468231356e-03, 3.844000026600000e-02, -2.488014837207092e-02
87, 1.439664540660457e-03, -8.562099384953193e-03, 7.254922137583136e-02, 3.335635175414951e-01, -2.189305737973706e-03, 3.260000050100000e-02, -2.301019039181026e-02
88, 1.879632277739891e-03, -4.709850297787192e-02, 1.263075662986568e-01, 3.481558231853648e-01, -1.179232719504143e-02, 2.723000012300000e-02, -2.110054613411241e-02
89, 2.742039586813689e-03, -8.718002692521110e-02, 1.844941459462990e-01, 3.614719583558951e-01, -2.176887463493091e-02, 2.232000045500000e-02, -1.915581339478782e-02
90, 3.955490853930514e-03, -1.292313569644253e-01, 2.482747971124769e-01, 3.730628656928793e-01, -3.210798766219458e-02, 1.789999939500000e-02, -1.719648907682125e-02
91, 5.767540129820704e-03, -1.734998508764202e-01, 3.187836931231458e-01, 3.818768149811512e-01, -4.299226593436048e-02, 1.394999958600000e-02, -1.522159913831717e-02
92, 8.992371435085257e-03, -2.210785113733172e-01, 3.988361954375388e-01, 3.864347269274581e-01, -5.439504051238092e-02, 1.049000024800000e-02, -1.324707048357166e-02
93, 1.327140357119860e-02, -2.718585925163756e-01, 4.896582634334788e-01, 3.833593198108158e-01, -6.652329350385047e-02, 7.519999985000000e-03, -1.127782407214816e-02
94, 1.808759134718962e-02, -3.276440782052331e-01, 5.959438466216112e-01, 3.666213906213313e-01, -7.921165058934640e-02, 5.040000193000000e-03, -9.314495588369881e-03
95, 2.266401118744618e-02, -3.857897354945174e-01, 7.151166866132450e-01, 3.258923274971610e-01, -9.208327982746622e-02, 3.049999941000000e-03, -7.350420236999443e-03
96, 1.612174070453017e-02, -4.396090260231751e-01, 8.424330059921922e-01, 2.425617385237671e-01, -1.044522155813234e-01, 1.560000004000000e-03, -5.380759283982304e-03
97, 3.898444089211257e-02, -4.815045127283211e-01, 9.501168846404083e-01, 1.153087816894612e-01, -1.114212639968285e-01, 5.600000150000000e-04, -3.354116123241317e-03
98, 2.030849147388769e-02, -5.029772997695348e-01, 9.985400361370810e-01, -3.343646513570843e-02, -1.093964057864651e-01, 5.999999800000000e-05, -1.187597986972261e-03
99, -1.248144371543233e-02, -4.848596902570372e-01, 9.913846662310355e-01, -1.356933210290305e-01, -1.065591763050587e-01, 0.000000000000000e+00, 0.000000000000000e+00
100, 6.525612830737461e-02, -4.404093085397577e-01, 9.306628236012209e-01, -2.474317406703241e-01, -1.007588886212979e-01, 5.999999800000000e-05, 1.145474809315592e-03
101, 9.231065243819302e-02, -3.425153179996488e-01, 7.789804763199083e-01, -4.454661862538138e-01, -7.319664656919488e-02, 5.600000150000000e-04, 3.137790261048677e-03
102, 6.132703673452957e-02, -1.926050906570047e-01, 5.198179098526992e-01, -5.890144620722604e-01, -3.703509153079298e-02, 1.560000004000000e-03, 4.912330658417433e-03
103, 3.902338368427446e-02, -5.497712757058854e-02, 2.946059251126646e-01, -6.161031200249399e-01, -7.129738480258917e-03, 3.049999941000000e-03, 6.568919675821682e-03
104, 1.736229866352201e-02, 4.690872164539724e-02, 1.234797752628887e-01, -5.855391177020902e-01, 1.531903472036108e-02, 5.040000193000000e-03, 8.167157436435379e-03
105, 9.976962225112108e-03, 1.161317611077640e-01, 6.235599795073601e-03, -5.351209679267519e-01, 3.064826836964289e-02, 7.519999985000000e-03, 9.723386155583102e-03
106, 6.846999515781545e-03, 1.609868558660744e-01, -7.225687760035601e-02, -4.822574336938071e-01, 4.104229382699583e-02, 1.049000024800000e-02, 1.125361921447761e-02
107, 3.577920804293707e-03, 1.917770610703677e-01, -1.271625613290224e-01, -4.342867627996458e-01, 4.836266079802210e-02, 1.394999958600000e-02, 1.276672205802797e-02
108, 1.144218367242672e-03, 2.145382347790644e-01, -1.674649907027191e-01, -3.928243904103930e-01, 5.395155747908447e-02, 1.789999939500000e-02, 1.426734783001939e-02
109, -2.703717142222413e-04, 2.325381618837654e-01, -1.985965132393664e-01, -3.570910654205069e-01, 5.838835758309417e-02, 2.232000045500000e-02, 1.575113227969564e-02
110, -4.629545066897271e-04, 2.478140600165934e-01, -2.239586018212584e-01, -3.262369668229479e-01, 6.222488152619528e-02, 2.723000012300000e-02, 1.722590854897354e-02
111, 7.206800575527462e-04, 2.617930059925196e-01, -2.458267008096855e-01, -2.994684918434596e-01, 6.573253629367866e-02, 3.260000050100000e-02, 1.868263613767208e-02
112, 2.530700195219653e-03, 2.758267879513450e-01, -2.661321046715457e-01, -2.762241809505635e-01, 6.926755443740049e-02, 3.844000026600000e-02, 2.012375219846848e-02
113, 2.162928225836726e-03, 2.898262973711602e-01, -2.851808579449088e-01, -2.557776403358202e-01, 7.280924667198888e-02, 4.473999887700000e-02, 2.154559511490873e-02
114, -2.217714959837585e-03, 3.016900863873023e-01, -3.012243205579573e-01, -2.369973925842962e-01, 7.584699021272086e-02, 5.149000138000000e-02, 2.294471740189874e-02
