"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
45	5.590599775310000e-01	-5.036610308235417e-02	9.105126545750805e-01	9.731093585966930e-01	7.086234453396527e-02	2.717030215471020e+00	8.777071844876000e-01	9.639703304257864e-01	-2.729750346258929e-01	9.224190518041594e-01	
46	5.433599948880000e-01	-5.148363659385750e-02	9.057159213928235e-01	9.742019048692628e-01	6.780802089192296e-02	2.704563093041419e+00	8.712366284436057e-01	9.619314487745839e-01	-2.874182400812372e-01	9.291168990516304e-01	
47	5.276100039480000e-01	-5.255291618745676e-02	9.009822767788239e-01	9.752047139835337e-01	6.459184060481087e-02	2.692246824841496e+00	8.648642949278600e-01	9.599126611234883e-01	-3.016421988217411e-01	9.357292363255652e-01	
48	5.118399858470000e-01	-5.356970813801928e-02	8.962789522955129e-01	9.761248704880705e-01	6.120090127600658e-02	2.679996293780124e+00	8.585459287499387e-01	9.579003574178178e-01	-3.157456947546011e-01	9.423016051765928e-01	
49	4.960500001910000e-01	-5.453176268758914e-02	8.913353633395639e-01	9.770495002805860e-01	5.767782166729564e-02	2.667123183241399e+00	8.519015675258225e-01	9.557587441992712e-01	-3.305768582012891e-01	9.492763971302994e-01	
50	4.802699983120000e-01	-5.543496746665669e-02	8.858103952538026e-01	9.779727382428286e-01	5.413806531960465e-02	2.652727506776955e+00	8.444844665935690e-01	9.533467558275914e-01	-3.471328870679263e-01	9.571079645405004e-01	
51	4.645099937920000e-01	-5.627648013000807e-02	8.799610798944076e-01	9.787709213142258e-01	5.059416909631967e-02	2.637454040748619e+00	8.366646228996690e-01	9.507973045808642e-01	-3.645878953132388e-01	9.653594498981307e-01	
52	4.487800002100000e-01	-5.705340964122689e-02	8.751376086146423e-01	9.792231507235746e-01	4.686532267848387e-02	2.624796439358021e+00	8.302789835414378e-01	9.487410612552507e-01	-3.788415545950049e-01	9.719955489969972e-01	
53	4.331099987030000e-01	-5.776195809099067e-02	8.730647806419632e-01	9.792362470497653e-01	4.258932696887326e-02	2.619265096328103e+00	8.276267272110993e-01	9.479556907593348e-01	-3.847617696180819e-01	9.745257968554698e-01	
54	4.174999892710000e-01	-5.839979621543732e-02	8.738128570189591e-01	9.789596291102222e-01	3.746255114666273e-02	2.621084458343085e+00	8.287607971922804e-01	9.484419810663177e-01	-3.822303634100885e-01	9.729593847209970e-01	
55	4.019699990750000e-01	-5.896370992023295e-02	8.735928836460592e-01	9.790102565474568e-01	3.174060056020082e-02	2.620455084279517e+00	8.285216939561608e-01	9.484071006831151e-01	-3.827640759907124e-01	9.730717571907587e-01	
56	3.865399956700000e-01	-5.945065569685911e-02	8.649609185875126e-01	9.799621849187969e-01	2.649989737969582e-02	2.597936092874205e+00	8.169613619043116e-01	9.445066757911047e-01	-4.085683886064474e-01	9.856098398313842e-01	
57	3.712300062180000e-01	-5.985778258022185e-02	8.425391302692258e-01	9.811914479788726e-01	2.301159758852518e-02	2.539309533186770e+00	7.870659013501543e-01	9.341594628354587e-01	-4.752993273434056e-01	1.018611446492366e+00	
58	3.560400009160000e-01	-6.018283894837621e-02	8.127843540196007e-01	9.801245567973166e-01	2.006198741102172e-02	2.460989322912258e+00	7.479131676039701e-01	9.201864724698355e-01	-5.626938223125668e-01	1.062661521188573e+00	
59	3.409900069240000e-01	-6.042311847859507e-02	7.913306453509958e-01	9.768139701214170e-01	1.469471372536494e-02	2.403865531389169e+00	7.203369348807160e-01	9.102856550705296e-01	-6.242479132126875e-01	1.093578961561642e+00	
60	3.261100053790000e-01	-6.057609939217747e-02	7.836326413533784e-01	9.748400429490972e-01	8.134666586301081e-03	2.383119863224097e+00	7.106905958417881e-01	9.069180612670561e-01	-6.457799199960088e-01	1.104047907789781e+00	
61	3.113999962810000e-01	-6.063983094771537e-02	7.842686809417676e-01	9.744551201553889e-01	1.572019642822273e-03	2.384624714697097e+00	7.116968392207595e-01	9.074655873879064e-01	-6.435338410250904e-01	1.102347279310682e+00	
62	2.968699932100000e-01	-6.061224653749585e-02	7.874749906268977e-01	9.748226525481047e-01	-4.894946482725124e-03	2.393096201074048e+00	7.158839801005437e-01	9.090878931032956e-01	-6.341875444184294e-01	1.097305012113429e+00	
63	2.825500071050000e-01	-6.049159447326359e-02	7.907372607190788e-01	9.753449230934246e-01	-1.140567560315986e-02	2.401787836120109e+00	7.200719130637684e-01	9.106335932733854e-01	-6.248394797683742e-01	1.092496023836184e+00	
64	2.684499919410000e-01	-6.027639140277916e-02	7.938266087270076e-01	9.758609189113412e-01	-1.819216371228470e-02	2.410048273403437e+00	7.240083353259533e-01	9.120484591553114e-01	-6.160528229331399e-01	1.088089829634963e+00	
