SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
36, 6.412169667503989e-04, 1.964719238649204e-01, -2.431395567722996e-01, -9.304912344327428e-02, 5.024743467036705e-02, 6.958900094030001e-01, -4.281343796030714e-02
37, 4.694485976158260e-04, 2.054245827701964e-01, -2.527527770218329e-01, -8.923229286166320e-02, 5.249691564885584e-02, 6.812700033190000e-01, -4.413554706630916e-02
38, 3.738988506204289e-04, 2.143052742248547e-01, -2.622589330527632e-01, -8.526909694527586e-02, 5.473564420560236e-02, 6.664699912070000e-01, -4.541807252935628e-02
39, 3.347673253916549e-04, 2.230779193897551e-01, -2.716168925515604e-01, -8.118584159092811e-02, 5.694007369600283e-02, 6.514999866490000e-01, -4.665822433729542e-02
40, 3.775138581698359e-04, 2.316485698056594e-01, -2.807315872241186e-01, -7.697266136469959e-02, 5.910172926075452e-02, 6.363800168040000e-01, -4.785265849113055e-02
41, 4.486989295071759e-04, 2.400191226622720e-01, -2.896033326105228e-01, -7.265828141968164e-02, 6.120657670416458e-02, 6.211299896240000e-01, -4.899841188345117e-02
42, 5.630258489947377e-04, 2.481415572298721e-01, -2.981835541262242e-01, -6.823736525932445e-02, 6.325623539852152e-02, 6.057599782940000e-01, -5.009356698714890e-02
43, 5.909149249178191e-04, 2.560493776884246e-01, -3.065073391291263e-01, -6.373439682590300e-02, 6.524582311279858e-02, 5.902799963950000e-01, -5.113640761251829e-02
44, 4.781428602937405e-04, 2.637237956769126e-01, -3.145589172737314e-01, -5.914607129273012e-02, 6.718323567470938e-02, 5.747100114820000e-01, -5.212478191117140e-02
45, 1.949330193894759e-04, 2.711976743078929e-01, -3.223697995748983e-01, -5.448926053176339e-02, 6.906519837861094e-02, 5.590599775310000e-01, -5.305742278794188e-02
46, -2.133125069968159e-05, 2.784698043211319e-01, -3.299456857879542e-01, -4.976515917385252e-02, 7.090167424793069e-02, 5.433599948880000e-01, -5.393210346059647e-02
47, 7.486001140178811e-05, 2.855793359542749e-01, -3.373275740213224e-01, -4.497116025388588e-02, 7.269616054290617e-02, 5.276100039480000e-01, -5.474850705684695e-02
48, 4.937555568450236e-04, 2.926119293299205e-01, -3.445985898533432e-01, -4.012373076232072e-02, 7.446795327564912e-02, 5.118399858470000e-01, -5.550483834591729e-02
49, 5.713982166356586e-04, 2.996208400232602e-01, -3.518171816192475e-01, -3.521808219464793e-02, 7.623045487604140e-02, 4.960500001910000e-01, -5.620089949767616e-02
50, -4.195531009680441e-04, 3.066162486918002e-01, -3.590004091599422e-01, -3.023400357263910e-02, 7.799882762732430e-02, 4.802699983120000e-01, -5.683518801653593e-02
51, -2.208664863249091e-03, 3.135041410386006e-01, -3.660480836516573e-01, -2.514043719739432e-02, 7.973994889099928e-02, 4.645099937920000e-01, -5.740715836726812e-02
52, -3.421203372423599e-03, 3.200167899148091e-01, -3.726899877607083e-01, -1.992730704698946e-02, 8.138694164503052e-02, 4.487800002100000e-01, -5.791619740345855e-02
53, -2.778735770039311e-03, 3.259411535469094e-01, -3.787170131195986e-01, -1.459035691022708e-02, 8.289003802505771e-02, 4.331099987030000e-01, -5.836107004420307e-02
54, 2.134006448388970e-04, 3.314572496265706e-01, -3.843060238511962e-01, -9.139142075081196e-03, 8.428793710901930e-02, 4.174999892710000e-01, -5.874141482304360e-02
